2.942	0.017
3.032	0.019
3.247	0.417
3.631	0.09
4.099	0.023
4.363	0.01
4.655	0.02
5.021	0.011
5.205	0.186
5.377	0.027
5.891	0.019
5.933	0.184
5.985	0.023
6.11	0.099
6.148	3.759
6.351	0.051
6.818	0.027
6.9	0.12
6.913	0.286
7.07	0.289
7.076	0.011
7.177	0.014
7.186	4.321
7.258	0.01
7.453	9.775
7.538	0.068
7.574	0.057
7.585	0.014
7.622	0.306
7.727	0.047
7.942	0.716
7.999	0.235
8.119	0.275
8.388	0.036
8.498	0.231
8.524	0.266
8.692	0.241
9.002	0.127
9.21	0.057
9.374	1.128
9.467	0.165
9.536	5.838
9.54	1.554
9.667	0.09
9.688	0.035
9.722	0.13
9.751	0.029
9.799	0.977
9.873	0.988
9.924	0.459
10.019	0.077
10.046	0.077
10.071	0.052
10.075	0.208
10.102	0.349
10.217	0.102
10.273	0.044
10.275	0.016
10.332	0.028
10.411	0.133
10.433	0.046
10.434	0.094
10.549	2.621
10.584	0.371
10.797	0.887
10.804	0.065
10.876	0.061
10.879	0.053
11.013	0.086
11.07	1.068
11.112	0.013
11.15	0.124
11.197	0.256
11.214	1.585
11.281	0.026
11.385	0.05
11.468	0.012
11.478	0.111
11.712	0.472
11.738	0.161
11.83	0.208
11.874	1.313
11.923	0.017
12.108	0.01
12.119	0.39
12.149	0.142
12.161	0.037
12.243	0.019
12.317	0.243
12.381	0.131
12.409	0.22
12.43	2.041
12.457	1.535
12.502	0.095
12.577	0.573
12.659	0.024
12.767	0.071
12.884	0.026
12.892	0.022
12.928	0.024
12.97	0.038
13.036	0.014
13.115	0.025
13.145	0.921
13.2	0.048
13.357	0.061
13.361	0.532
13.409	0.113
13.439	0.029
13.557	0.131
13.655	0.01
13.713	0.042
13.811	0.319
13.822	0.412
13.858	0.08
13.953	0.12
13.968	0.395
13.977	0.14
13.989	0.39
14.05	0.069
14.079	13.137
14.127	0.198
14.163	0.108
14.196	0.026
14.248	0.678
14.323	0.892
14.38	0.038
14.414	0.179
14.439	0.066
14.456	0.446
14.465	0.096
14.495	0.071
14.575	0.03
14.62	0.093
14.652	0.019
14.671	0.025
14.677	0.219
14.703	0.011
14.727	0.062
14.736	0.682
14.802	1.314
15.089	0.655
15.263	0.238
15.32	0.017
15.344	0.277
15.399	0.267
15.434	0.033
15.455	0.094
15.632	0.061
15.691	0.02
15.702	0.206
15.735	0.129
15.776	0.024
15.85	0.632
15.85	0.074
15.975	0.132
16.003	0.017
16.048	0.01
16.077	0.569
16.109	0.06
16.348	0.548
16.44	0.173
16.501	1.066
16.575	0.158
16.601	0.058
16.603	0.073
16.684	0.057
16.691	0.071
16.742	0.313
16.848	0.183
16.864	1.4
16.868	0.021
16.92	0.131
16.974	0.212
17.101	0.078
17.203	0.228
17.237	0.61
17.266	1.242
17.579	0.014
17.63	0.122
17.737	0.055
17.795	1.954
17.846	0.064
17.86	0.084
17.9	0.749
17.911	4.422
17.952	0.017
18.067	0.311
18.09	0.331
18.452	0.218
18.598	0.13
18.748	0.444
18.75	0.645
18.796	0.017
19.097	0.02
19.588	0.068
19.597	0.473
19.644	0.019
19.651	0.294
19.654	0.547
19.691	0.184
19.695	0.041
19.778	0.036
19.84	0.395
19.979	0.063
20.083	0.625
20.088	0.481
20.256	0.033
20.385	0.053
20.473	0.13
20.696	1.977
20.746	0.039
21.019	0.235
21.695	0.114
21.837	0.2
21.906	0.013
21.93	0.016
22.732	0.857
22.783	0.09
22.867	0.059
23.163	0.79
23.207	0.152
23.628	0.098
24.26	0.295
24.291	0.026
24.547	0.032
24.915	0.14
25.22	0.158
25.649	0.029
25.95	0.012
26.384	0.726
26.434	0.027
27.023	0.113
27.056	3.28
27.964	0.364
28.895	0.311
29.277	0.019
29.658	0.097
