Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,9.123,0.041,3.688879,-0.559616,14.32,0.038,4.682131,-0.245122,19.271,0.051,4.007333,-0.435318,27.629,0.174,2.484907,-1.252763,0,0,0,0,,,
0,0,0,0,10.508,0.043,3.663562,-0.584934,16.215,0.038,4.672829,-0.254425,20.057,0.051,3.988984,-0.453667,25.098,0.196,2.397895,-1.339774,0,0,0,0,,,
0,0,0,0,11.069,0.044,3.637586,-0.610909,17.88,0.038,4.663439,-0.263815,18.247,0.052,3.970292,-0.472359,26.286,0.217,2.302585,-1.435085,0,0,0,0,,,
0,0,0,0,11.749,0.049,3.610918,-0.637577,17.694,0.042,4.65396,-0.273293,20.227,0.053,3.951244,-0.491408,27.397,0.217,2.197225,-1.540445,0,0,0,0,,,
0,0,0,0,11.912,0.051,3.583519,-0.664976,17.998,0.043,4.644391,-0.282863,18.39,0.055,3.931826,-0.510826,23.963,0.244,2.079442,-1.658228,0,0,0,0,,,
0,0,0,0,8.029,0.053,3.555348,-0.693147,14.205,0.044,4.634729,-0.292525,20.957,0.056,3.912023,-0.530628,26.198,0.311,1.94591,-1.791759,0,0,0,0,,,
0,0,0,0,10.611,0.059,3.526361,-0.722135,17.337,0.044,4.624973,-0.302281,21.786,0.059,3.89182,-0.550831,25.002,0.381,1.791759,-1.94591,0,0,0,0,,,
0,0,0,0,10.267,0.067,3.496508,-0.751988,17.291,0.046,4.615121,-0.312133,21.815,0.061,3.871201,-0.57145,24.778,0.494,1.609438,-2.128232,0,0,0,0,,,
0,0,0,0,11.431,0.067,3.465736,-0.782759,16.062,0.047,4.60517,-0.322083,23.306,0.064,3.850148,-0.592504,26.793,0.563,1.386294,-2.351375,0,0,0,0,,,
0,0,0,0,10.631,0.073,3.433987,-0.814508,16.149,0.047,4.59512,-0.332134,22.275,0.066,3.828641,-0.61401,28.47,1.312,1.098612,-2.639057,0,0,0,0,,,
0,0,0,0,8.935,0.074,3.401197,-0.847298,13.436,0.048,4.584967,-0.342286,20.359,0.067,3.806662,-0.635989,25.32,1.555,0.693147,-3.044522,0,0,0,0,,,
0,0,0,0,9.294,0.079,3.367296,-0.881199,17.355,0.048,4.574711,-0.352543,19.821,0.069,3.78419,-0.658462,27.157,4.249,0,-3.73767,0,0,0,0,,,
0,0,0,0,11.337,0.088,3.332205,-0.916291,17.776,0.048,4.564348,-0.362905,20.03,0.07,3.7612,-0.681451,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.668,0.092,3.295837,-0.952658,13.153,0.05,4.553877,-0.373377,19.021,0.077,3.73767,-0.704982,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.353,0.115,3.258097,-0.990399,16.987,0.052,4.543295,-0.383959,20.701,0.077,3.713572,-0.729079,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.322,0.128,3.218876,-1.029619,14.667,0.055,4.532599,-0.394654,19.537,0.078,3.688879,-0.753772,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.732,0.136,3.178054,-1.070441,13.645,0.056,4.521789,-0.405465,21.74,0.078,3.663562,-0.77909,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.173,0.138,3.135494,-1.113001,15.486,0.056,4.51086,-0.416394,19.475,0.086,3.637586,-0.805065,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.414,0.138,3.091042,-1.157453,13.858,0.06,4.49981,-0.427444,22.748,0.088,3.610918,-0.831733,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.517,0.157,3.044522,-1.203973,15.126,0.06,4.488636,-0.438617,22.387,0.09,3.583519,-0.859132,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.507,0.159,2.995732,-1.252763,15.735,0.06,4.477337,-0.449917,22.256,0.091,3.555348,-0.887303,0,0,0,0,0,0,0,0,,,
0,0,0,0,12.206,0.168,2.944439,-1.304056,15.461,0.065,4.465908,-0.461346,20.902,0.098,3.526361,-0.916291,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.648,0.246,2.890372,-1.358123,12.848,0.066,4.454347,-0.472906,20.382,0.107,3.496508,-0.946144,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.198,0.252,2.833213,-1.415282,17.113,0.067,4.442651,-0.484602,20.331,0.114,3.465736,-0.976915,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.573,0.287,2.772589,-1.475907,12.499,0.073,4.430817,-0.496437,21.148,0.137,3.433987,-1.008664,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.082,0.312,2.70805,-1.540445,15.179,0.078,4.418841,-0.508413,20.969,0.145,3.401197,-1.041454,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.577,0.355,2.639057,-1.609438,16.957,0.078,4.406719,-0.520534,22.486,0.152,3.367296,-1.075355,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.368,0.397,2.564949,-1.683546,17.346,0.078,4.394449,-0.532805,21.019,0.209,3.332205,-1.110447,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.674,0.421,2.484907,-1.763589,15.828,0.079,4.382027,-0.545227,18.83,0.232,3.295837,-1.146814,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.089,0.454,2.397895,-1.8506,16.558,0.079,4.369448,-0.557806,20.991,0.268,3.258097,-1.184555,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.679,0.46,2.302585,-1.94591,15.198,0.087,4.356709,-0.570545,18.219,0.311,3.218876,-1.223775,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.228,0.497,2.197225,-2.051271,17.446,0.092,4.343805,-0.583448,22.204,0.311,3.178054,-1.264597,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.646,0.629,2.079442,-2.169054,17.504,0.096,4.330733,-0.59652,18.228,0.319,3.135494,-1.307157,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.725,0.808,1.94591,-2.302585,16.768,0.097,4.317488,-0.609766,19.451,0.347,3.091042,-1.351609,0,0,0,0,0,0,0,0,,,
