TCR-CD3ge lifetime,Force,Lifetime,TCR-CD3ge thermal,Thermal Lifetime,,TCR-CD3de lifetime,Force,Lifetime,TCR-CD3de thermal,Thermal Lifetime,,TCR-CD3mix lifetime,Force,Lifetime,TCR-CD3mix Thermal,Thermal lifetime
,,,,,,,,,,,,,20.056,0.048,,
,,,,,,,,,,,,,20.078,0.006,,
,,,,,,,,,,,,,20.123,0.697,,
,,,,,,,,,,,,,20.188,0.464,,
,,,,,,,,,,,,,20.208,0.111,,
,,,,,,,,,,,,,20.212,0.012,,
,,,,,,,,,,,,,20.219,0.051,,
,,,,,,,,,,,,,20.308,0.712,,
,,,,,,,,,,,,,20.367,0.013,,
,,,,,,,,,,,,,20.371,0.037,,
,,,,,,,,,,,,,20.403,0.003,,
,,,,,,,,,,,,,20.426,0.186,,
,,,,,,,,,,,,,20.497,0.5,,
,,,,,,,,,,,,,20.516,0.042,,
,,,,,,,,,,,,,20.517,0.039,,
,,,,,,,,,,,,,20.527,0.129,,
,,,,,,,,,,,,,20.565,0.084,,
,,,,,,,,,,,,,20.629,0.05,,
,,,,,,,,,,,,,20.732,0.754,,
,,,,,,,,,,,,,20.753,0.006,,
,,,,,,,,,,,,,20.85,0.57,,
,,,,,,,,,,,,,20.928,0.26,,
,,,,,,,,,,,,,21.006,0.02,,
,,,,,,,,,,,,,21.104,37.078,,
,,,,,,,,,,,,,21.121,0.049,,
,,,,,,,,,,,,,21.163,0.047,,
,,,,,,,,,,,,,21.178,0.006,,
,,,,,,,,,,,,,21.223,0.009,,
,,,,,,,,,,,,,21.416,0.277,,
,,,,,,,,,,,,,21.482,0.02,,
,,,,,,,,,,,,,21.51,0.218,,
,,,,,,,,,,,,,21.571,0.135,,
,,,,,,,,,,,,,21.601,0.212,,
,,,,,,,,,,,,,21.661,0.038,,
,,,,,,,,,,,,,21.792,3.155,,
,,,,,,,,,,,,,21.792,0.03,,
,,,,,,,,,,,,,21.797,0.014,,
,,,,,,,,,,,,,21.987,0.019,,
,,,,,,,,,,,,,22.019,0.587,,
,,,,,,,,,,,,,22.188,0.009,,
,,,,,,,,,,,,,22.203,0.112,,
,,,,,,,,,,,,,22.22,0.059,,
,,,,,,,,,,,,,22.248,0.044,,
,,,,,,,,,,,,,22.418,0.051,,
,,,,,,,,,,,,,22.876,0.016,,
,,,,,,,,,,,,,22.886,0.119,,
,,,,,,,,,,,,,22.907,0.005,,
,,,,,,,,,,,,,23.113,0.03,,
,,,,,,,,,,,,,23.165,0.277,,
,,,,,,,,,,,,,23.299,0.017,,
,,,,,,,,,,,,,23.51,0.038,,
,,,,,,,,,,,,,23.57,0.039,,
,,,,,,,,,,,,,23.65,0.012,,
,,,,,,,,,,,,,23.664,0.266,,
,,,,,,,,,,,,,23.695,0.179,,
,,,,,,,,,,,,,23.731,0.173,,
,,,,,,,,,,,,,23.797,0.577,,
,,,,,,,,,,,,,23.838,0.006,,
,,,,,,,,,,,,,24.069,0.245,,
,,,,,,,,,,,,,24.322,0.004,,
,,,,,,,,,,,,,24.353,0.154,,
,,,,,,,,,,,,,24.527,0.189,,
,,,,,,,,,,,,,24.564,0.024,,
,,,,,,,,,,,,,24.615,0.062,,
,,,,,,,,,,,,,24.674,23.177,,
,,,,,,,,,,,,,24.835,0.014,,
,,,,,,,,,,,,,25.13,0.011,,
,,,,,,,,,,,,,25.335,0.384,,
,,,,,,,,,,,,,26.005,0.444,,
,,,,,,,,,,,,,26.604,0.02,,
,,,,,,,,,,,,,29.591,0.005,,
,,,,,,,,,,,,,34.031,0.499,,
