Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
6.821,0.062,3.465736,-0.594707,8.7,0.178,3.258097,-0.693147,12.12,0.083,3.828641,-0.448025,14.564,0.054,4.189655,-0.332134,19.686,0.022,4.624973,-0.227057,23.731,0.173,2.639057,-1.049822,,,
3.261,0.073,3.433987,-0.626456,9.468,0.181,3.218876,-0.732368,11.142,0.094,3.806662,-0.470004,15.079,0.054,4.174387,-0.347401,16.776,0.024,4.615121,-0.23691,23.695,0.179,2.564949,-1.12393,,,
5.789,0.074,3.401197,-0.659246,9.04,0.19,3.178054,-0.77319,12.737,0.096,3.78419,-0.492476,14.007,0.056,4.158883,-0.362905,19.088,0.024,4.60517,-0.24686,24.527,0.189,2.484907,-1.203973,,,
2.724,0.077,3.367296,-0.693147,8.44,0.214,3.135494,-0.81575,11.663,0.103,3.7612,-0.515466,15.962,0.057,4.143135,-0.378654,19.83,0.024,4.59512,-0.25691,21.601,0.212,2.397895,-1.290984,,,
3.951,0.101,3.332205,-0.728239,8.947,0.269,3.091042,-0.860201,12.774,0.112,3.73767,-0.538997,14.498,0.059,4.127134,-0.394654,18.268,0.026,4.584967,-0.267063,21.51,0.218,2.302585,-1.386294,,,
4.099,0.107,3.295837,-0.764606,8.906,0.32,3.044522,-0.906721,12.59,0.126,3.713572,-0.563094,16.297,0.064,4.110874,-0.410915,19.733,0.026,4.574711,-0.277319,24.069,0.245,2.197225,-1.491655,,,
4.101,0.107,3.258097,-0.802346,8.866,0.324,2.995732,-0.955511,12.861,0.15,3.688879,-0.587787,16.194,0.065,4.094345,-0.427444,18.983,0.027,4.564348,-0.287682,23.664,0.266,2.079442,-1.609438,,,
1.993,0.147,3.218876,-0.841567,8.344,0.327,2.944439,-1.006805,11.676,0.152,3.663562,-0.613104,13.883,0.068,4.077537,-0.444251,17.245,0.028,4.553877,-0.298153,23.165,0.277,1.94591,-1.742969,,,
5.43,0.18,3.178054,-0.882389,7.77,0.494,2.890372,-1.060872,11.916,0.166,3.637586,-0.63908,14.381,0.068,4.060443,-0.461346,16.582,0.03,4.543295,-0.308735,25.335,0.384,1.791759,-1.89712,,,
4.666,0.241,3.135494,-0.924949,9.441,0.619,2.833213,-1.11803,13.026,0.196,3.610918,-0.665748,14.473,0.071,4.043051,-0.478737,18,0.034,4.532599,-0.319431,26.005,0.444,1.609438,-2.079442,,,
5.701,0.268,3.091042,-0.969401,9.2,0.663,2.772589,-1.178655,12.814,0.201,3.583519,-0.693147,14.276,0.072,4.025352,-0.496437,18.284,0.034,4.521789,-0.330242,23.797,0.577,1.386294,-2.302585,,,
6.276,0.273,3.044522,-1.015921,8.782,0.715,2.70805,-1.243194,11.739,0.211,3.555348,-0.721318,15.605,0.072,4.007333,-0.514455,17.094,0.035,4.51086,-0.341171,22.019,0.587,1.098612,-2.590267,,,
5.523,0.283,2.995732,-1.064711,9.817,0.716,2.639057,-1.312186,12.749,0.226,3.526361,-0.750306,14.002,0.073,3.988984,-0.532805,17.796,0.036,4.49981,-0.352221,21.792,3.155,0.693147,-2.995732,,,
5.122,0.338,2.944439,-1.116004,9.289,0.899,2.564949,-1.386294,11.035,0.237,3.496508,-0.780159,14.641,0.084,3.970292,-0.551497,18.537,0.037,4.488636,-0.363394,24.674,23.177,0,-3.688879,,,
6.9,0.338,2.890372,-1.170071,9.184,0.925,2.484907,-1.466337,10.445,0.269,3.465736,-0.81093,15.657,0.084,3.951244,-0.570545,20.371,0.037,4.477337,-0.374693,0,0,0,0,,,
7.247,0.341,2.833213,-1.22723,8.757,1.291,2.397895,-1.553348,10.669,0.27,3.433987,-0.842679,15.308,0.089,3.931826,-0.589963,20.517,0.039,4.465908,-0.386122,0,0,0,0,,,
6.488,0.351,2.772589,-1.287854,9.19,1.327,2.302585,-1.648659,9.88,0.28,3.401197,-0.875469,14.275,0.092,3.912023,-0.609766,19.871,0.04,4.454347,-0.397683,0,0,0,0,,,
7.07,0.428,2.70805,-1.352393,8.746,1.496,2.197225,-1.754019,11.61,0.299,3.367296,-0.90937,14.617,0.096,3.89182,-0.629968,17.065,0.041,4.442651,-0.409379,0,0,0,0,,,
