Force,Lifetime,p,Lnp,Force_1,Lifetime_1,p_1,Lnp_1,Force_2,Lifetime_2,p_2,Lnp_2,Force_3,Lifetime_3,p_3,Lnp_3,Force_4,Lifetime_4,p_4,Lnp_4,Force_5,Lifetime_5,p_5,Lnp_5
0,0,0,0,7.07,0.289,2.484907,-1.252763,14.163,0.108,3.555348,-0.619039,14.465,0.096,3.637586,-0.581922,0,0,0,0,0,0,0,0
0,0,0,0,7.622,0.306,2.397895,-1.339774,11.478,0.111,3.526361,-0.648027,17.63,0.122,3.610918,-0.60859,0,0,0,0,0,0,0,0
0,0,0,0,10.102,0.349,2.302585,-1.435085,13.409,0.113,3.496508,-0.67788,15.735,0.129,3.583519,-0.635989,0,0,0,0,0,0,0,0
0,0,0,0,9.924,0.459,2.197225,-1.540445,13.953,0.12,3.465736,-0.708651,18.598,0.13,3.555348,-0.66416,0,0,0,0,0,0,0,0
0,0,0,0,7.942,0.716,2.079442,-1.658228,11.15,0.124,3.433987,-0.7404,16.92,0.131,3.526361,-0.693147,0,0,0,0,0,0,0,0
0,0,0,0,9.799,0.977,1.94591,-1.791759,12.381,0.131,3.401197,-0.77319,15.975,0.132,3.496508,-0.723,0,0,0,0,0,0,0,0
0,0,0,0,9.873,0.988,1.791759,-1.94591,13.557,0.131,3.367296,-0.807091,16.575,0.158,3.465736,-0.753772,0,0,0,0,0,0,0,0
0,0,0,0,9.374,1.128,1.609438,-2.128232,10.411,0.133,3.332205,-0.842183,16.44,0.173,3.433987,-0.785521,0,0,0,0,0,0,0,0
0,0,0,0,9.54,1.554,1.386294,-2.351375,13.977,0.14,3.295837,-0.87855,14.414,0.179,3.401197,-0.81831,0,0,0,0,0,0,0,0
0,0,0,0,7.186,4.321,1.098612,-2.639057,12.149,0.142,3.258097,-0.916291,16.848,0.183,3.367296,-0.852212,0,0,0,0,0,0,0,0
0,0,0,0,9.536,5.838,0.693147,-3.044522,11.738,0.161,3.218876,-0.955511,15.702,0.206,3.332205,-0.887303,0,0,0,0,0,0,0,0
0,0,0,0,7.453,9.775,0,-3.73767,14.127,0.198,3.178054,-0.996333,16.974,0.212,3.295837,-0.923671,0,0,0,0,0,0,0,0
