Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,11.321,0.591,1.609438,-3.459466,14.58,0.227,3.135494,-2.040656,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.511,0.739,1.386294,-3.68261,15.186,0.241,3.091042,-2.085107,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.736,1.038,1.098612,-3.970292,14.214,0.242,3.044522,-2.131627,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.095,2.095,0.693147,-4.375757,13.95,0.272,2.995732,-2.180417,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.577,3.049,0,-5.068904,15.794,0.283,2.944439,-2.231711,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.072,0.319,2.890372,-2.285778,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.968,0.322,2.833213,-2.342936,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.006,0.329,2.772589,-2.403561,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.787,0.36,2.70805,-2.4681,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.635,0.38,2.639057,-2.537092,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.811,0.464,2.564949,-2.6112,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.868,0.527,2.484907,-2.691243,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.939,0.545,2.397895,-2.778254,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.333,0.55,2.302585,-2.873565,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.389,0.596,2.197225,-2.978925,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.885,0.677,2.079442,-3.096708,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.11,0.678,1.94591,-3.23024,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.976,0.723,1.791759,-3.38439,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.059,0.797,1.609438,-3.566712,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.015,1.381,1.386294,-3.789855,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.115,2.097,1.098612,-4.077537,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.896,2.162,0.693147,-4.483003,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.48,5.771,0,-5.17615,0,0,0,0,0,0,0,0,0,0,0,0
