Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
4.249,0.038,3.091042,-0.840783,9.238,0.012,4.867534,-0.20137,16.027,0.019,4.997212,-0.178937,20.361,0.013,4.804021,-0.213259,23.948,0.049,3.135494,-0.81575,0,0,0,0
6.144,0.04,3.044522,-0.887303,9.384,0.012,4.859812,-0.209092,14.387,0.02,4.990433,-0.185717,17.983,0.014,4.795791,-0.221489,23.963,0.05,3.091042,-0.860201,0,0,0,0
6.363,0.041,2.995732,-0.936093,9.489,0.012,4.85203,-0.216874,15.697,0.02,4.983607,-0.192543,18.183,0.016,4.787492,-0.229788,22.407,0.051,3.044522,-0.906721,0,0,0,0
3.992,0.042,2.944439,-0.987387,9.61,0.012,4.844187,-0.224717,11.843,0.021,4.976734,-0.199416,18.217,0.016,4.779123,-0.238156,23.274,0.053,2.995732,-0.955511,0,0,0,0
6.656,0.042,2.890372,-1.041454,10.79,0.012,4.836282,-0.232622,12.494,0.021,4.969813,-0.206336,18.76,0.016,4.770685,-0.246595,21.966,0.054,2.944439,-1.006805,0,0,0,0
4.345,0.063,2.833213,-1.098612,11.287,0.012,4.828314,-0.24059,12.873,0.021,4.962845,-0.213305,20.107,0.016,4.762174,-0.255106,22.921,0.06,2.890372,-1.060872,0,0,0,0
4.612,0.064,2.772589,-1.159237,7.725,0.013,4.820282,-0.248623,12.324,0.022,4.955827,-0.220323,16.158,0.017,4.75359,-0.26369,26.414,0.06,2.833213,-1.11803,0,0,0,0
3.773,0.065,2.70805,-1.223775,7.894,0.013,4.812184,-0.25672,15.303,0.022,4.94876,-0.22739,18.569,0.017,4.744932,-0.272348,22.479,0.061,2.772589,-1.178655,0,0,0,0
5.035,0.065,2.639057,-1.292768,7.977,0.013,4.804021,-0.264883,15.728,0.022,4.941642,-0.234507,18.572,0.017,4.736198,-0.281081,23.262,0.062,2.70805,-1.243194,0,0,0,0
5.492,0.066,2.564949,-1.366876,8.694,0.013,4.795791,-0.273114,13.236,0.023,4.934474,-0.241676,19.725,0.017,4.727388,-0.289892,24.031,0.065,2.639057,-1.312186,0,0,0,0
6.217,0.073,2.484907,-1.446919,9.643,0.013,4.787492,-0.281412,11.805,0.024,4.927254,-0.248896,20.27,0.017,4.718499,-0.298781,21.686,0.072,2.564949,-1.386294,0,0,0,0
1.489,0.081,2.397895,-1.53393,10.741,0.013,4.779123,-0.289781,12.91,0.024,4.919981,-0.256169,17.486,0.018,4.70953,-0.30775,27.377,0.079,2.484907,-1.466337,0,0,0,0
6.652,0.086,2.302585,-1.629241,7.038,0.014,4.770685,-0.29822,15.608,0.024,4.912655,-0.263495,17.048,0.019,4.70048,-0.316799,23.359,0.081,2.397895,-1.553348,0,0,0,0
6.356,0.093,2.197225,-1.734601,8.278,0.014,4.762174,-0.30673,12.138,0.025,4.905275,-0.270875,19.073,0.019,4.691348,-0.325932,21.635,0.088,2.302585,-1.648659,0,0,0,0
6.348,0.123,2.079442,-1.852384,8.717,0.014,4.75359,-0.315314,12.723,0.026,4.89784,-0.27831,19.795,0.019,4.682131,-0.335149,24.674,0.092,2.197225,-1.754019,0,0,0,0
2.496,0.13,1.94591,-1.985915,9.376,0.014,4.744932,-0.323972,14.854,0.026,4.890349,-0.285801,19.825,0.02,4.672829,-0.344451,27.548,0.112,2.079442,-1.871802,0,0,0,0
