Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime
0,0,0,0,17.558,0.23,3.7612,-0.569533,24.17,0.13,3.988984,-0.476924,26.808,0.305,2.995732,-0.97456,0,0,0,0
0,0,0,0,19.539,0.23,3.73767,-0.593064,21.865,0.131,3.970292,-0.495616,25.64,0.343,2.944439,-1.025853,0,0,0,0
0,0,0,0,19.961,0.236,3.713572,-0.617161,24.316,0.133,3.951244,-0.514664,26.254,0.366,2.890372,-1.07992,0,0,0,0
0,0,0,0,19.349,0.26,3.688879,-0.641854,22.082,0.139,3.931826,-0.534082,29.078,0.388,2.833213,-1.137079,0,0,0,0
0,0,0,0,15.298,0.261,3.663562,-0.667172,22.543,0.144,3.912023,-0.553885,26.244,0.41,2.772589,-1.197703,0,0,0,0
0,0,0,0,19.898,0.316,3.637586,-0.693147,24.402,0.16,3.89182,-0.574088,29.027,0.426,2.70805,-1.262242,0,0,0,0
0,0,0,0,16.446,0.339,3.610918,-0.719815,20.903,0.163,3.871201,-0.594707,26.001,0.473,2.639057,-1.331235,0,0,0,0
0,0,0,0,19.051,0.364,3.583519,-0.747214,20.544,0.166,3.850148,-0.615761,25.238,0.505,2.564949,-1.405343,0,0,0,0
0,0,0,0,20.279,0.367,3.555348,-0.775385,24.577,0.17,3.828641,-0.637267,26.494,0.511,2.484907,-1.485385,0,0,0,0
0,0,0,0,19.09,0.372,3.526361,-0.804373,23.95,0.171,3.806662,-0.659246,26.965,0.546,2.397895,-1.572397,0,0,0,0
0,0,0,0,17.399,0.395,3.496508,-0.834226,22.409,0.173,3.78419,-0.681718,25.41,0.57,2.302585,-1.667707,0,0,0,0
0,0,0,0,16.366,0.468,3.465736,-0.864997,22.822,0.174,3.7612,-0.704708,27.109,0.573,2.197225,-1.773067,0,0,0,0
0,0,0,0,14.792,0.474,3.433987,-0.896746,20.915,0.176,3.73767,-0.728239,25.497,0.644,2.079442,-1.89085,0,0,0,0
0,0,0,0,14.912,0.495,3.401197,-0.929536,25.097,0.178,3.713572,-0.752336,26.249,0.939,1.94591,-2.024382,0,0,0,0
0,0,0,0,14.895,0.503,3.367296,-0.963438,23.235,0.184,3.688879,-0.777029,26.447,0.975,1.791759,-2.178532,0,0,0,0
0,0,0,0,19.331,0.528,3.332205,-0.998529,25.206,0.195,3.663562,-0.802346,28.201,1.089,1.609438,-2.360854,0,0,0,0
0,0,0,0,14.238,0.565,3.295837,-1.034896,23.615,0.199,3.637586,-0.828322,27.788,1.114,1.386294,-2.583998,0,0,0,0
0,0,0,0,14.246,0.571,3.258097,-1.072637,21.358,0.203,3.610918,-0.85499,25.447,1.213,1.098612,-2.87168,0,0,0,0
0,0,0,0,16.01,0.579,3.218876,-1.111858,25.076,0.204,3.583519,-0.882389,26.418,2.541,0.693147,-3.277145,0,0,0,0
0,0,0,0,15.522,0.658,3.178054,-1.15268,24.249,0.209,3.555348,-0.91056,29.703,3.057,0,-3.970292,0,0,0,0
0,0,0,0,20.151,0.681,3.135494,-1.195239,21.095,0.251,3.526361,-0.939548,0,0,0,0,0,0,0,0
0,0,0,0,14.97,0.789,3.091042,-1.239691,20.429,0.252,3.496508,-0.969401,0,0,0,0,0,0,0,0
0,0,0,0,20.254,0.937,3.044522,-1.286211,23.32,0.255,3.465736,-1.000172,0,0,0,0,0,0,0,0
0,0,0,0,14.327,1.284,2.995732,-1.335001,23.455,0.267,3.433987,-1.031921,0,0,0,0,0,0,0,0
0,0,0,0,20.265,1.287,2.944439,-1.386294,21.963,0.276,3.401197,-1.064711,0,0,0,0,0,0,0,0
0,0,0,0,15.168,1.518,2.890372,-1.440362,21.839,0.291,3.367296,-1.098612,0,0,0,0,0,0,0,0
0,0,0,0,18.082,1.629,2.833213,-1.49752,20.555,0.33,3.332205,-1.133704,0,0,0,0,0,0,0,0
0,0,0,0,19.219,1.643,2.772589,-1.558145,24.305,0.395,3.295837,-1.170071,0,0,0,0,0,0,0,0
0,0,0,0,16.419,1.725,2.70805,-1.622683,20.42,0.436,3.258097,-1.207812,0,0,0,0,0,0,0,0
0,0,0,0,16.344,1.771,2.639057,-1.691676,20.924,0.442,3.218876,-1.247032,0,0,0,0,0,0,0,0
0,0,0,0,17.577,2.053,2.564949,-1.765784,22.399,0.461,3.178054,-1.287854,0,0,0,0,0,0,0,0
0,0,0,0,14.642,2.137,2.484907,-1.845827,23.675,0.467,3.135494,-1.330414,0,0,0,0,0,0,0,0
0,0,0,0,14.644,2.14,2.397895,-1.932838,22.274,0.527,3.091042,-1.374866,0,0,0,0,0,0,0,0
0,0,0,0,16.983,2.145,2.302585,-2.028148,20.62,0.582,3.044522,-1.421386,0,0,0,0,0,0,0,0
0,0,0,0,19.709,2.231,2.197225,-2.133509,24.222,0.591,2.995732,-1.470176,0,0,0,0,0,0,0,0
0,0,0,0,14.627,3.019,2.079442,-2.251292,21.354,0.613,2.944439,-1.521469,0,0,0,0,0,0,0,0
0,0,0,0,17.153,3.066,1.94591,-2.384823,25.097,0.635,2.890372,-1.575536,0,0,0,0,0,0,0,0
0,0,0,0,20.198,3.093,1.791759,-2.538974,25.075,0.649,2.833213,-1.632695,0,0,0,0,0,0,0,0
0,0,0,0,20.199,3.096,1.609438,-2.721295,24.909,0.969,2.772589,-1.693319,0,0,0,0,0,0,0,0
0,0,0,0,15.339,3.353,1.386294,-2.944439,23.425,1.259,2.70805,-1.757858,0,0,0,0,0,0,0,0
0,0,0,0,16.87,3.477,1.098612,-3.232121,24.579,1.308,2.639057,-1.826851,0,0,0,0,0,0,0,0
0,0,0,0,18.503,4.961,0.693147,-3.637586,24.757,1.459,2.564949,-1.900959,0,0,0,0,0,0,0,0
0,0,0,0,18.5,4.989,0,-4.330733,21.916,1.635,2.484907,-1.981001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22.425,1.768,2.397895,-2.068013,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24.648,1.786,2.302585,-2.163323,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24.919,1.979,2.197225,-2.268684,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23.073,1.998,2.079442,-2.386467,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24.436,2.009,1.94591,-2.519998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23.083,2.29,1.791759,-2.674149,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21.948,2.592,1.609438,-2.85647,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21.968,3.609,1.386294,-3.079614,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,20.56,3.673,1.098612,-3.367296,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22.916,3.996,0.693147,-3.772761,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21.822,4.817,0,-4.465908,0,0,0,0,0,0,0,0
