Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,7.338,0.501,2.772589,-1.159237,13.448,0.041,4.553877,-0.313658,17.13,0.047,3.713572,-0.617161,0,0,0,0,0,0,0,0
0,0,0,0,5.775,0.533,2.70805,-1.223775,12.114,0.042,4.543295,-0.32424,17.694,0.05,3.688879,-0.641854,0,0,0,0,0,0,0,0
0,0,0,0,6.439,0.617,2.639057,-1.292768,12.165,0.048,4.532599,-0.334935,17.86,0.05,3.663562,-0.667172,0,0,0,0,0,0,0,0
0,0,0,0,8.261,0.88,2.564949,-1.366876,14.231,0.055,4.521789,-0.345746,20.264,0.051,3.637586,-0.693147,0,0,0,0,0,0,0,0
0,0,0,0,7.256,0.909,2.484907,-1.446919,15.541,0.055,4.51086,-0.356675,16.772,0.058,3.610918,-0.719815,0,0,0,0,0,0,0,0
0,0,0,0,8.401,1.011,2.397895,-1.53393,10.777,0.056,4.49981,-0.367725,16.627,0.059,3.583519,-0.747214,0,0,0,0,0,0,0,0
0,0,0,0,6.031,1.012,2.302585,-1.629241,9.37,0.058,4.488636,-0.378898,19.335,0.059,3.555348,-0.775385,0,0,0,0,0,0,0,0
0,0,0,0,7.991,1.143,2.197225,-1.734601,9.411,0.058,4.477337,-0.390198,19.947,0.059,3.526361,-0.804373,0,0,0,0,0,0,0,0
0,0,0,0,8.113,1.469,2.079442,-1.852384,9.495,0.062,4.465908,-0.401626,20.453,0.061,3.496508,-0.834226,0,0,0,0,0,0,0,0
0,0,0,0,8.243,1.552,1.94591,-1.985915,11.257,0.065,4.454347,-0.413187,16.375,0.065,3.465736,-0.864997,0,0,0,0,0,0,0,0
0,0,0,0,6.909,1.681,1.791759,-2.140066,12.354,0.067,4.442651,-0.424883,19.145,0.07,3.433987,-0.896746,0,0,0,0,0,0,0,0
0,0,0,0,8.368,1.71,1.609438,-2.322388,11.027,0.07,4.430817,-0.436718,20.466,0.088,3.401197,-0.929536,0,0,0,0,0,0,0,0
