Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,7.198,0.048,4.094345,-0.405465,15.05,0.037,4.663439,-0.249216,16.776,0.024,4.820282,-0.216671,24.069,0.245,2.197225,-1.466337,0,0,0,0,,,
0,0,0,0,9.013,0.052,4.077537,-0.422272,10.136,0.041,4.65396,-0.258695,19.088,0.024,4.812184,-0.224768,23.664,0.266,2.079442,-1.58412,0,0,0,0,,,
0,0,0,0,9.574,0.055,4.060443,-0.439367,11.801,0.046,4.644391,-0.268264,19.83,0.024,4.804021,-0.232932,21.416,0.277,1.94591,-1.717651,0,0,0,0,,,
0,0,0,0,6.821,0.062,4.043051,-0.456758,13.376,0.046,4.634729,-0.277926,15.905,0.025,4.795791,-0.241162,23.165,0.277,1.791759,-1.871802,0,0,0,0,,,
0,0,0,0,8.059,0.065,4.025352,-0.474458,10.473,0.05,4.624973,-0.287682,18.268,0.026,4.787492,-0.249461,25.335,0.384,1.609438,-2.054124,0,0,0,0,,,
0,0,0,0,5.789,0.074,4.007333,-0.492476,15.221,0.053,4.615121,-0.297534,19.733,0.026,4.779123,-0.257829,23.797,0.577,1.386294,-2.277267,0,0,0,0,,,
0,0,0,0,9.652,0.078,3.988984,-0.510826,14.564,0.054,4.60517,-0.307485,18.983,0.027,4.770685,-0.266268,22.019,0.587,1.098612,-2.564949,0,0,0,0,,,
0,0,0,0,8.927,0.079,3.970292,-0.529518,15.079,0.054,4.59512,-0.317535,16.284,0.028,4.762174,-0.274779,21.792,3.155,0.693147,-2.970414,0,0,0,0,,,
0,0,0,0,8.805,0.088,3.951244,-0.548566,12.649,0.056,4.584967,-0.327687,17.245,0.028,4.75359,-0.283362,24.674,23.177,0,-3.663562,0,0,0,0,,,
0,0,0,0,7.986,0.092,3.931826,-0.567984,14.007,0.056,4.574711,-0.337944,16.582,0.03,4.744932,-0.29202,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.009,0.098,3.912023,-0.587787,10.291,0.058,4.564348,-0.348307,16.279,0.033,4.736198,-0.300754,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.41,0.124,3.89182,-0.607989,14.498,0.059,4.553877,-0.358778,18,0.034,4.727388,-0.309565,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.616,0.127,3.871201,-0.628609,12.213,0.063,4.543295,-0.36936,18.284,0.034,4.718499,-0.318454,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.047,0.133,3.850148,-0.649662,10.231,0.065,4.532599,-0.380055,15.786,0.035,4.70953,-0.327422,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.216,0.145,3.828641,-0.671168,12.192,0.067,4.521789,-0.390866,17.094,0.035,4.70048,-0.336472,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.435,0.151,3.806662,-0.693147,13.883,0.068,4.51086,-0.401795,17.796,0.036,4.691348,-0.345605,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.7,0.178,3.78419,-0.71562,14.381,0.068,4.49981,-0.412845,18.537,0.037,4.682131,-0.354821,0,0,0,0,0,0,0,0,,,
0,0,0,0,5.43,0.18,3.7612,-0.73861,14.473,0.071,4.488636,-0.424019,20.371,0.037,4.672829,-0.364124,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.468,0.181,3.73767,-0.76214,14.276,0.072,4.477337,-0.435318,20.517,0.039,4.663439,-0.373514,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.04,0.19,3.713572,-0.786238,14.002,0.073,4.465908,-0.446747,16.169,0.04,4.65396,-0.382992,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.44,0.214,3.688879,-0.81093,11.623,0.078,4.454347,-0.458308,19.871,0.04,4.644391,-0.392562,0,0,0,0,0,0,0,0,,,
0,0,0,0,5.701,0.268,3.663562,-0.836248,12.12,0.083,4.442651,-0.470004,17.065,0.041,4.634729,-0.402224,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.947,0.269,3.637586,-0.862224,14.641,0.084,4.430817,-0.481838,17.472,0.042,4.624973,-0.41198,0,0,0,0,0,0,0,0,,,
