Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,11.15,0.124,3.401197,-0.709676,14.05,0.069,3.931826,-0.474894,18.067,0.311,2.833213,-1.037988,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.002,0.127,3.367296,-0.743578,12.767,0.071,3.912023,-0.494696,16.742,0.313,2.772589,-1.098612,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.722,0.13,3.332205,-0.778669,14.495,0.071,3.89182,-0.514899,18.09,0.331,2.70805,-1.163151,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.411,0.133,3.295837,-0.815037,15.85,0.074,3.871201,-0.535518,19.84,0.395,2.639057,-1.232144,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.467,0.165,3.258097,-0.852777,13.858,0.08,3.850148,-0.556572,18.748,0.444,2.564949,-1.306252,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.075,0.208,3.218876,-0.891998,14.62,0.093,3.828641,-0.578078,19.597,0.473,2.484907,-1.386294,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.498,0.231,3.178054,-0.93282,15.455,0.094,3.806662,-0.600057,20.088,0.481,2.397895,-1.473306,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.999,0.235,3.135494,-0.97538,12.502,0.095,3.78419,-0.62253,19.654,0.547,2.302585,-1.568616,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.692,0.241,3.091042,-1.019831,14.465,0.096,3.7612,-0.645519,17.237,0.61,2.197225,-1.673976,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.197,0.256,3.044522,-1.066351,14.163,0.108,3.73767,-0.66905,20.083,0.625,2.079442,-1.791759,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.524,0.266,2.995732,-1.115142,13.409,0.113,3.713572,-0.693147,18.75,0.645,1.94591,-1.925291,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.119,0.275,2.944439,-1.166435,13.953,0.12,3.688879,-0.71784,17.9,0.749,1.791759,-2.079442,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.913,0.286,2.890372,-1.220502,15.735,0.129,3.663562,-0.743158,16.501,1.066,1.609438,-2.261763,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.07,0.289,2.833213,-1.277661,12.381,0.131,3.637586,-0.769133,17.266,1.242,1.386294,-2.484907,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.622,0.306,2.772589,-1.338285,13.557,0.131,3.610918,-0.795801,16.864,1.4,1.098612,-2.772589,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.102,0.349,2.70805,-1.402824,15.975,0.132,3.583519,-0.8232,17.795,1.954,0.693147,-3.178054,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.584,0.371,2.639057,-1.471817,13.977,0.14,3.555348,-0.851371,17.911,4.422,0,-3.871201,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.924,0.459,2.564949,-1.545925,12.149,0.142,3.526361,-0.880359,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.942,0.716,2.484907,-1.625967,11.738,0.161,3.496508,-0.910212,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.797,0.887,2.397895,-1.712979,14.414,0.179,3.465736,-0.940983,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.799,0.977,2.302585,-1.808289,14.127,0.198,3.433987,-0.972732,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.873,0.988,2.197225,-1.913649,15.702,0.206,3.401197,-1.005522,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.07,1.068,2.079442,-2.031432,11.83,0.208,3.367296,-1.039423,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.374,1.128,1.94591,-2.164964,14.677,0.219,3.332205,-1.074515,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.54,1.554,1.791759,-2.319114,12.409,0.22,3.295837,-1.110882,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.214,1.585,1.609438,-2.501436,15.263,0.238,3.258097,-1.148623,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,10.549,2.621,1.386294,-2.72458,12.317,0.243,3.218876,-1.187843,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.186,4.321,1.098612,-3.012262,15.399,0.267,3.178054,-1.228665,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.536,5.838,0.693147,-3.417727,15.344,0.277,3.135494,-1.271225,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.453,9.775,0,-4.110874,13.811,0.319,3.091042,-1.315677,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.119,0.39,3.044522,-1.362197,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.989,0.39,2.995732,-1.410987,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.968,0.395,2.944439,-1.46228,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.822,0.412,2.890372,-1.516347,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.456,0.446,2.833213,-1.573506,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.712,0.472,2.772589,-1.634131,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.361,0.532,2.70805,-1.698669,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.348,0.548,2.639057,-1.767662,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.077,0.569,2.564949,-1.84177,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.577,0.573,2.484907,-1.921813,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.85,0.632,2.397895,-2.008824,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.089,0.655,2.302585,-2.104134,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.248,0.678,2.197225,-2.209495,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.736,0.682,2.079442,-2.327278,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.323,0.892,1.94591,-2.460809,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.145,0.921,1.791759,-2.61496,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.874,1.313,1.609438,-2.797281,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.802,1.314,1.386294,-3.020425,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.457,1.535,1.098612,-3.308107,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.43,2.041,0.693147,-3.713572,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.079,13.137,0,-4.406719,0,0,0,0,0,0,0,0,0,0,0,0,,,
